Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT
2018,134,1138,89,1112,68,N,0
2018,134,1181,89,1233,67,N,0
2018,134,1196,77,1382,62,N,0
2018,134,1211,68,1422,64,N,0
2018,134,1222,67,1361,65,N,0
2018,134,1242,76,1335,60,N,0
2018,134,1246,78,1172,73,N,0
2018,134,1260,64,1274,62,N,0
2018,134,1276,61,1285,47,N,0
2018,134,1326,81,1355,73,N,0
2018,134,1348,83,1328,78,N,1
2018,134,1371,94,1301,83,N,0
2018,134,1397,73,1460,47,N,0
2018,134,1403,70,1372,60,N,0
2018,134,1437,87,1347,61,N,0
2018,134,1104,86,1439,83,N,0
2018,135,1139,79,1116,62,N,0
2018,135,1120,62,1158,58,N,0
2018,135,1153,68,1209,53,N,0
2018,135,1155,79,1308,68,N,0
2018,135,1243,69,1166,59,N,0
2018,135,1277,82,1137,78,N,0
2018,135,1199,67,1281,54,N,0
2018,135,1305,87,1400,83,N,1
2018,135,1314,84,1252,66,N,0
2018,135,1345,74,1168,48,N,0
2018,135,1393,57,1395,52,N,0
2018,135,1401,73,1344,69,N,0
2018,135,1420,67,1438,54,N,0
2018,135,1452,85,1293,68,N,0
2018,135,1267,81,1455,75,N,0
2018,135,1141,98,1459,94,N,0
2018,135,1462,102,1411,83,N,0
2018,136,1181,87,1348,62,N,0
2018,136,1211,90,1326,84,N,0
2018,136,1242,83,1371,79,N,0
2018,136,1246,95,1138,75,N,0
2018,136,1276,64,1222,63,N,0
2018,136,1336,73,1323,63,N,0
2018,136,1360,67,1340,64,N,0
2018,136,1260,63,1397,62,N,0
2018,136,1403,69,1196,66,N,0
2018,136,1437,81,1104,58,N,0
2018,137,1155,84,1120,53,N,0
2018,137,1305,75,1153,73,N,0
2018,137,1243,50,1420,43,N,0
2018,137,1257,84,1292,68,N,0
2018,137,1266,101,1332,92,N,0
2018,137,1393,55,1277,53,N,0
2018,137,1401,86,1314,65,N,0
2018,137,1345,76,1139,73,N,0
2018,137,1452,94,1267,71,N,0
2018,137,1199,75,1462,70,N,0
2018,138,1144,71,1309,69,N,0
2018,141,1199,75,1211,60,N,0
2018,141,1243,61,1246,58,N,0
2018,141,1276,99,1401,72,N,0
2018,141,1260,69,1305,68,N,0
2018,141,1362,65,1144,62,N,0
2018,142,1181,69,1393,65,N,0
2018,142,1242,80,1155,76,N,0
2018,142,1403,78,1345,65,N,0
2018,142,1437,90,1452,78,N,0
2018,143,1260,78,1243,62,N,0
2018,143,1276,58,1199,54,N,0
2018,144,1242,85,1181,81,N,1
2018,144,1437,71,1403,59,N,0
2018,150,1276,69,1260,57,N,0
2018,150,1437,95,1242,79,N,0
2018,152,1437,79,1276,62,N,0